head,time,article 
548分钟2球1助！谢维军成泰达新宠 感叹中超不好踢,2018年11月15日 11:38,　　文章来源：天津日报　　中国足协推出的U23新政，给了众多年轻球员一个登上中超舞台的机会，泰达21岁小将谢维军就是其中的一个幸运儿。虽然联赛二次转会后才得到联赛登场机会，但在半个多赛季的联赛中，谢维军还是奉献了两粒进球和一记助攻，成为球队新人中表现最亮眼的一名球员。“这是我第一次打中超，确实学到了很多东西，这些经历对于自己未来帮助会很大，在同年龄的比赛里信心提高了很多。”谈到2018赛季的表现，谢维军直言收获大于成绩。　　因为转会手续的问题，谢维军从联赛二次转会结束后才得到联赛参赛机会。第11轮泰达挑战上海申花，谢维军迎来职业生涯的重要时刻，他在终场结束前替补登场，虽然仅登场5分钟，但对谢维军来说意义重大。不过，让球迷真正能记住谢维军的比赛还是中超第16轮泰达客场与华夏之战，谢维军在终场结束前补射得手，帮助球队2：1逆转对手，拿到了宝贵的3分。“和华夏的进球当然非常兴奋了，因为这是我在中超的第一个进球，而且还算是个绝杀球，心里特别的开心。不过说实话，对大连的进球我更加兴奋，但当时刚刚扳平比分，所以我也没有去庆祝，看到球进门后我只想着快点抱着球跑回中圈。”回想起联赛的两个进球，谢维军也是记忆犹新，毕竟征战中超第一个赛季就能打入两个球而且还是关键进球，所以谢维军的表现还是可圈可点的。根据统计，谢维军本赛季出场15次，出场时间548分钟，在队内年轻球员中，出场时间仅次于杨帆和高嘉润，作为一名21岁的年轻小将，第一个赛季拿到这样的数据还是非常不容易的。　　谈到自己这个赛季的表现，谢维军认为收获比进球更为重要，“这是中国最顶级的联赛，以前也只能在电视上看着，到现在自己在场上踢，感觉是真的不一样，比如节奏、气氛、对抗强度等等，这是以前从没有经历过的。”谢维军表示，经过这个赛季的历练之后，对他今后在同年龄的比赛中提升信心会有很大的帮助。当然，本赛季泰达惊险保级的经历，对这位21岁年轻小将的心理，也是一次难得的考验，“今年的保级到最后一轮最后一分钟才知道，所以压力确实很大，其实从对重庆开始压力就特别大，不过老大哥在比赛前也和我谈了挺多，让我放松点，按照平时那样踢就行，丢球没关系接着来，帮助我减轻压力，让我受益匪浅。”　　因为入选了希丁克的国奥集训队，谢维军在联赛收官战结束后的转天，便从广州赶到了重庆，参加国奥的备战。“接下来在重庆有个四国赛，最主要还是备战明年奥运会的预赛，所以比赛任务还是非常重的。我也希望把联赛得到的收获带到国奥队的训练中，争取在国奥比赛中有更好的表现。” 本报记者 李航　　摄影 本报记者 崔跃勇
32岁100万欧来到中超 最值外援还是头号武磊吹,2018年11月15日 11:53,　　文章来源：搜达足球　　在上海上港越过山丘的同时，一位远方的故人，同样开启了全新的篇章。　　2018年11月4日，在2018赛季瑞典超级联赛的最后一个主场，保级无忧的哥德堡IFK队，为宣布挂靴的托比亚斯·海森举办了退役仪式。“感谢托比”，是这个下午的唯一主题。　　在老乌利维球场，“托比功成身退，这是传奇书写的故事”——巨大的TIFO悬挂在那里。海森在第82分钟替补登场，这是他的出生年份。　　从2007到2013，再从2016到2018，曾经为瑞典国家队出战34场打进10球的海森，代表哥德堡IFK出场380次，打进144球。但在本赛季，因为年龄、伤势和状态的原因，海森已经淡出了哥德堡的主力阵容，全年下来，只在联赛出战过21次，贡献1个进球和3次助攻。这也到了告别的年龄。　　两周之前，在接受俱乐部官方采访时，“音乐发烧友”海森亲口聊起了那些喜悦、遗憾、迷惘和释怀，以及自己难以忘怀的进球。其中，就包括一次发生于2014年7月27日的灵光乍现。　　彼时，在大雨之中接到武磊的左侧传中，海森腾空而起，用一个高难度的侧身倒钩，攻破了辽宁宏运的大门。刹那之间，神乎其技。　　回顾在过往几年的中超金元时代，海森并不是什么耀眼的存在，毕竟，他的身边曾经站着孔卡和吉安，继承者更是埃尔克森、胡尔克和奥斯卡。2014年1月，他从哥德堡加盟上海上港的转会费，仅有100万欧元，就算在队内，这样的低廉身价也排在十名开外，还比不上韩国后卫金周荣。　　不过，就是这笔似乎无足挂齿的引援，为上海上港奉上了54场31球11助攻的高效表现，平均每107分钟，他就能直接制造一个进球。而在他两年破门的24场比赛中，上海上港甚至打出了16胜7平1负的出色战绩，胜率拔群。　　2014赛季，被球迷昵称为“大屁股”的海森，以19球位列中超射手榜第三名，帮助上港稳扎稳打，由第9名来到第5名；翌年，上港第一次来到积分榜第二位，瑞典人则以12球并列射手榜第9。　　2016年1月，在确定重回哥德堡之后，海森在社交平台发出了一封“感谢信”，除了向球迷、俱乐部和队友一一致谢，他还在文末这样写道：“兄弟们，我会永远记住你们。大屁股送上所有的祝福！”　　如今，两年过去了，当时看上去平淡无奇的“客套”，其实从未在海森心中消逝。　　从今年9月开始，海森就开始在社交平台上更新关于上港的动态——有时候是一张战报，有时候则是一句加油。甚至在9月18日，他还特意在推特上实时文字直播了上港与恒大的天王山一番战。　　而在武磊先拔头筹后，瑞典人更是这样写道：“武磊再一次向大家证明了，他绝对不比那些外援差。”而且在文字中，海森还用了“JIA YOU #SIPG”，为上港加油。　　次回合的天王山之战，“国外网友”海森再次全程关注了比赛，为上港加油，并再次提到了他非常欣赏的武磊。　　一周前，伴随着自己录制的祝福短片漂洋过海，海森也得知了上海上港加冕桂冠的消息。在转发上港技术总监戴维森的庆祝视频时，瑞典前锋这样写道：“从10岁一起生活，到现在夺取联赛冠军，我很开心能见证这一切，并且还参与其中。恭喜你们，好好享受吧！”　　海森告别中超已经三年。2015赛季，他帮助上港历史性地晋级亚冠，虽然没有能够随队征战，但是当海森看到上港在2016赛季亚冠1/8决赛中绝杀东京FC晋级时，他就在社交媒体上疯狂了！　　虽然人已离队，但牵挂仍在，热爱仍在。　　心系上港，欣赏武磊，虽然没能随上港赢得冠军，但是在上港的崛起之路上，海森的贡献无法磨灭。他是中超外援的典范，他对上港的那份爱，让上港球迷怎能不深爱他！　　100万欧元引进，两个赛季54场31球11助攻，海森堪称中超金元时代里的性价比之王。最重要的是他的职业精神，以及他对球队的热爱。金钱可以买来一位巨星“打工仔”，但却买不来这样那份发自内心的真挚的爱。　　作者：陈丁睿
兹维列夫：赛季冗长影响状态 前No.1：这话太愚蠢,2018年11月15日 10:34,　　北京时间11月15日消息，兹维列夫在年终总决赛小组赛第二场不敌德约科维奇。21岁的德国小伙在赛后关于赛季过长的一席发言引发关注。前辈卡费尔尼科夫就在社交媒体上表达了不满。　　与德约科维奇的这场比赛，兹维列夫在首盘尚且表现出一定的竞争力，但到了第二盘速速缴械。“说实话，这两个月来我始终不在最佳状态。”被问及是何原因造成的，兹维列夫如此回答：“问题就在于我们的赛季太长了。我之前也说过。我们一年要打11个月，真是荒唐。没有其他职业体育项目的赛季会持续这么长时间。”　　兹维列夫的这番话遭到了前世界第一卡费尔尼科夫的吐槽。俄罗斯人在推特上写道：“真是受够了这些蠢话。他可能不记得在90年代了，一直要打到12月10日才结束，桑普拉斯、贝克尔以及其他球员，压根就没有人抱怨。”　　到目前为止，兹维列夫本赛季打了70多场单打比赛。近年来，关于缩短赛季的讨论不断，ATP方面也有所调整，但包括顶尖球员在内，都受到不同程度伤病的困扰。　　此外，有记者问及兹维列夫与伦德尔的合作，后者素以严厉著称，德国人的回答是：“要是对我严格定规矩的话，我们的合作维持不了太长时间。我想，他应该很快就认识到了这一点吧。”　　（Chen）
总决赛巨人对决伊斯内尔遭逆转 西里奇收获首胜,2018年11月15日 06:27,　　北京时间11月15日消息，2018年ATP年终总决赛在伦敦O2体育馆继续进行，在库尔腾组的比赛中，两位首轮失利选手狭路相逢，最终西里奇6-7(2)/6-3/6-4逆转了伊斯内尔，取得小组赛首胜，也是生涯第二次在总决赛赢球。　　伊斯内尔和西里奇两人在首轮分别输给了德约科维奇和兹维列夫，这场比赛对两人都很重要，过往交手中，西里奇7胜3负占据优势。首盘比赛，伊斯内尔挽救破发点保发成功，随后两人都进入了状态，在自己的发球局都十分轻松保发，第10局，西里奇在非保不可的一局里挽救了3个盘点后守住，各保一局后比赛进入抢七，结果伊斯内尔发球护体，以7-2拿下。　　第二盘，两人在开局延续了自己的发球状态，各自保发战至3-3，第8局，伊斯内尔的发球局陷入危机，上来就0-40落后，尽管挽救了前两个破发点，但是他在面对最后一个破发点时发出双误，西里奇5-3领先，love game守住发球胜盘局后，克罗地亚人6-3扳回一盘。　　决胜盘开局，伊斯内尔的发球局再陷胶着，结果美国人又是破发点发出双误被破，接下来两个互破一次，西里奇在第4局保发3-1领先，接下来比赛波澜不惊，两人都没能实现破发，西里奇6-4拿下，实现逆转。　　（rod）
爆韩国羽协解聘七位教练 赞助商可能也要解约,2018年11月15日 18:55,　　近两年成绩大幅滑坡的韩国羽毛球队近日再受打击，据韩国《东亚日报》报道，韩国羽协在中国福州公开赛期间，已经通过短信告知7位教练不再续约，同时赞助商VICTOR羽毛球或将提前结束与韩国队的赞助合约。　　　　自里约奥运会后，韩国羽毛球队随着李龙大、高成炫、申白喆等一大批实力强劲的男双退出国家队后，韩国队的成绩和后辈人才培养都遭遇了危机。本赛季成绩跌入谷底，在世界羽联举办的巡回赛中，羽联SUPER500级别以上赛事韩国队1冠，羽联SUPER100、SUPER300低级别赛事韩国队仅拿到一个男单冠军（李东根）、两个男双冠军（李龙大/金基正、高成炫/申白喆）、一个混双冠军（徐承载/蔡侑汀）。　　　　韩国羽毛球队成绩的惨淡，也导致了教练团队的动荡。据《东亚日报》报道，韩国羽协在2018年中国福州公开赛期间向现任主教练姜京珍等7位教练发送了手机短信，称合同在今年11月23日到期后不再续聘。这就意味着韩国羽协将一次性解聘7位羽毛球教练。　　《东亚日报》还称教练们都知道在今年8月份的亚运会之后，队内会有一次绩效评估。因此教练组有意将最李龙大、李炫一等有经验的韩国羽毛球选手纳入到亚运会名单中，但因为李龙大是尤尼克斯赞助，李炫一是雅牌赞助，与韩国队官方赞助商VICTOR冲突，因此被韩国羽协拒绝。　　在大量老队员退役，青黄不接的情况下，韩国队现任主教练姜京珍有意实行长期的战略，旨在锻炼现在没有大赛经验的年轻选手，并让他们参加亚运会等大型赛事，这一战略在2017年的苏迪曼杯上取得了很好的效果。当时韩国队派出的几乎全是缺乏大赛经验20岁左右的年轻选手，最终爆冷夺得了冠军。但总体来说，姜京珍这一策略需要长期实施，短期内收效甚微。　　　　中国台湾品牌VICTOR羽毛球从2009年以来一直赞助韩国羽毛球队，而且韩国队在过去成绩也很突出。在2017年2月，VICTOR羽毛球与韩国羽协续约到2021年2月。据《东亚日报》报道，由于韩国队成绩下滑太厉害，VICTOR羽毛球最近有意提前结束与韩国队的赞助合约。　　今年11月27日将举行韩国羽毛球大师赛，赞助商VICTOR的名字正在逐渐消失，虽然世界羽联等文件上还是称“2018年VICTOR韩国大师赛”，但韩文官网称该比赛为“光州韩国大师赛”。在《东亚日报》发文时，VICTOR羽毛球仍然是韩国队的赞助商。　　据了解，韩国羽毛球队的教练职位将在主教练到位之后逐渐填补，韩国队新的教练团队选拔将在12月18日之前进行。（爱羽客）
安赛龙自曝能听懂国羽教练指导 张军：我们有方言,2018年11月15日 18:03,　　前世界第一、丹麦羽毛球男单选手安赛龙会说一口流利的普通话，此前他曾自爆能听懂比赛间歇时中国教练的战术布置。近日丹麦电视台采访了国羽男双组教练张军，张军对此表示，中国除了普通话，还有很多方言。　　该电视台认为，中国羽毛球队在李永波执掌期间，一直比较保守，外面的人很难了解中国羽毛球队内的消息。而如今张军和夏煊泽接管羽毛球队之后，使得中国羽毛球运动变得更加开放。　　安赛龙在2017年世锦赛击败林丹夺得了冠军，但在2018赛季由于伤病严重成绩一落千丈，国羽教练张军认为安赛龙有潜力成为世界上最优秀的单打选手，“安赛龙是一名出色的运动员，他也很谦虚，喜欢学习，他的伤可能影响了他在赛场上的表现。”　　实际上安赛龙这个名字是这位丹麦选手后来自己取的，他的本名叫做维克托-阿萨尔森。为什么要给自己取一个中文名呢？安赛龙认为中国羽毛球是世界上最强的，在北京曾经呆过一段时间进行羽毛球训练。到了2014年之后，他回到丹麦通过互联网学习中文，同时还给自己取了一个中文名。　　在中国举办的一些大赛中，安赛龙接受媒体采访时都用一口流利的普通话，不少中国球迷都对这位大男孩很有好感，安赛龙也有意在中国进行商业推广。此前安赛龙曾向记者自爆，他能听懂比赛间歇时，中国教练向球员布置的战术。但张军表示，在中国不仅有普通话，还有很多很多的方言。　　安赛龙认为中国前总教练李永波比较保守，而张军比较开放和友好，待人热情，不会冷冰冰的。虽然张军表示愿意改用其他中国方言进行交流，但是他并不担心安赛龙故意“偷听”。　　安赛龙表示自己并非有意想要“偷听”中国教练的战术布置，但是听到一些也不错，学习中文让自己更好的了解了中国文化和中国人，也认识了很多新朋友。　　张军还透露丹麦是欧洲最强大的羽毛球国家，也是自己的福地，1999年哥本哈根苏迪曼杯第一次参加苏杯，自己还在比赛中战胜了一位丹麦选手。在2000年和2004年的奥运会半决赛中，自己也曾和丹麦球员交手。（爱羽客）
第43期名人战第1局观战记（上） 张栩VS井山裕太,2018年11月15日 11:12,　　来源：找借口安静公众号　　第43期名人战七番棋第一局　　对局日期：2018年8月28，29日　　黑：井山裕太 九段（0胜0负）　　白：张栩 九段（0胜0负）　　解说：山下敬吾 九段　　解说来源：朝日新闻　　图片来源：朝日新闻　　观战记者：春秋子　　结果：共239手 黑中盘胜　　用时：每方8小时，保留10次1分钟读秒　　翻译和整理：找借口安静 时间线是好东西　　比赛前夜，东京还是在酷暑当中，但是从傍晚开始进入了雷雨。8月28日酷暑告一段落之后，在云层中时而会露出一丝阳光。而名人战的七番棋也就此开始。比赛场地是东京都文京区的“东京椿山庄酒店”进行。　　在对局室附近，代表秋天的龙胆、兰花和乒乓菊也盛开了，张栩挑战者率先进入对局室，微微点头之后，开始擦拭棋盘。相信张栩的内心应该非常高兴。这是9年前名人战上输给当时只有20岁的井山裕太以来再次回到了名人战舞台。这也是张栩时隔5年重新回到头衔战。相信张栩内心很想力缆狂澜。我们报道团队也势必热烈欢迎他的回归。　　井山裕太稍后不久也进入了对局室。上午9点刚过，立会人石田芳夫示意开始猜先，井山裕太执黑先行。　　这盘棋的布局涵盖了新老的流行布局。黑3和黑5的大跳守角是新的。虽然这个下法在江户时代就曾出现过，藤泽秀行名誉棋圣也曾经非常喜欢这个下法。但是这个下法出现井喷式的上升，主要是这1、2年受到AI围棋的影响。　　而黑7和黑9的托退是老定式。白10这手在A位虎，然后在B位拆边的定式，可以说是昭和时代和平成时代的潮流。　　黑13选择点三三。这手棋可以说是代表平成年代尾声的最新手段。　　围棋界的大变革出现过很多次。即便丢掉了很多东西，但是进入17世纪后半阶段，本因坊道策提出了合理的思考方法——引入了棋理。而昭和初期（1926-1945），年轻人木谷实和吴清源的新布局革命。以及现在围棋AI开始下出来的，宛如破坏原先概念的手段。　　最大的变革应该是AI对我们的影响。他们在局面刚开始的时候就选择点三三让我很震惊。很早以前下出这手棋之后，就会被别人说你不会下棋，或者把你当傻子看。但是现在不管是职业还是业余棋手，都会抢着点三三。担任解说的山下敬吾九段这样回忆道——　　“早早地选择点三三是从1年多以前开始下出来的，我也试着下过。但是不知道为什么，我朋友们的反响并不好”。　　那么我们再回到黑13，这里可以说是一大分水岭，并非是一本道的变化。首先要考虑的是白棋要挡住的方向。张栩的白14花费了14分钟，之后白16花了1分钟。这里白棋可以在17位扳二子头，也可以在18位长出去。　　白16之后黑17、黑19是比较普通的应对。白20这手棋可以在30位长出，而在28位选择连扳的手段也是有过实战例的。　　白20扳之后白22断上去是最近的流行变化。井山裕太的黑23花了13分钟，这个时候在26位抱吃也是可以考虑的。　　白24到白30几乎都是秒下。而黑棋的下一手棋成为了本局的重大分水岭。　　山下敬吾表示：“这盘棋的布局双方都参考了AI的手段”，也同时预测着这盘棋的走势。记者也想加一句话，这盘棋可以说是看谁对AI的研究更深入了。　　在本局的分水岭，井山裕太很快就下出了黑31。这手棋也可以说是研究的成果。山下敬吾表示，这个时候黑1，然后让白棋在白2选择抱吃一手。但是黑3小飞之后，瞄着实战图的A位进行引征。张栩认为当前的局面只白棋征子有利，所以一下子下到了白30。如果征子不利的话，白2这手棋会下在a位，这个图可以参考一下循环圈的最后一局，黄翊祖对芝野虎丸的一盘棋。　　白32到白36的下法在实战也比较多见，而黑37这手棋还是比较强硬。那么这里是不是不能在B位长出呢？　　山下敬吾表示：“没有，黑B也是可以考虑的。白棋有可能在C位小尖吧。这样黑2子就不会立马动出，可能会抢D位的大场，也有可能在E位点三三”。　　这个定式到什么时候才算结束，还不得而知。黑37之后，AI推荐白棋在F位拔花。但是张栩考虑了20分钟之后下出了白38。又进入了一个未知的世界。　　这盘棋就看谁的研究更加深入。白38这手棋，AI推荐的是在42位拔花，然后黑棋在38位长出，然后白棋在A位跳出。　　关于白38，张栩表示“气势上很想下在这里”，但是在此背后，肯定是有充分的研究才得以如此自信。　　而井山裕太也不甘示弱。白38这手棋可以考虑在白1位枷一手。黑2出动的话，白3和白5之后黑6跳出。白7这手棋研究的时候觉得脱先也是比较有意思的手段。黑棋在a位拉回去的话棋型比较重，然后在白b碰一个的话就会招来一场混战。但是这里或许也是研究过的局面。　　白棋在白38和白40之后，白42选择拔花。到这里双方都下得很快，对局开始之后还不到2个小时。研究室有棋手开玩笑说，这盘棋第一天就有可能会结束。　　但是黑43花了13分钟，白44花了23分钟。这里的节奏稍有缓和。不过这也是必然的，因为双方都进入了进退两难的局面。　　山下敬吾表示：“黑43为了不给白棋劫材下在B位长出的话，白在C位碰之后相当头疼。实战白44之后都是要冲着打劫去的”。　　这盘棋终于开始引发了劫争，这盘棋的第一次大型劫争也就此开始。　　白50断上去之后开始了大型劫争。而白52打吃可以说是恰到好处的劫材。黑55的夹白棋没有选择应对，白56先选择消劫。黑57和黑59之后，双方各有收获。但是井山裕太挠挠脖子说：“感觉黑棋不好”。　　山下敬吾表示：“这盘棋已经很难猜到这一手了。白56拔花之后非常厚实，白A之后就形成大模样了。原本井山裕太可能会在66位吃掉一子。这样的话形势也吃不大准。实战白66到白70有个劫争，形势判断就变得更加困难了”。　　白60开始为了打劫选择造劫材。黑61如果下在黑1的话，白2断上去，反而给白棋劫材。再加上黑7之后白棋自身也获得了便宜，今后白a的劫材成为了绝佳的选点。　　白70扳之后一切就变得清晰起来，局部是白棋不利的缓一气劫。到这里感觉是白棋掌控了主动权，但是也有可能是黑棋诱导白棋下成了这个图。　　中午封盘之前还有2分钟，井山裕太点点头离开了位子。第一天上午进行了70手棋，是名人战的最快纪录。　　黑71点之后黑73的扑，下成了对黑棋有利的缓一气劫。这个劫材的价值有45目，赢劫还是输劫，本局第二次大型劫争由此展开。　　山下敬吾表示：“黑75的劫材非常灵活，白棋的应对会比较头疼。白76之后白78打成紧气劫也是理所应当的选择，白80的劫材，我的话有可能在82位应一下”。　　黑1之后，白2拔劫，黑3和黑5之后。白6到白12跑出去，上方的黑棋如何成空就成为了一个问题。张栩表示：“这里黑棋即便多走一手，我也会拼命去打对手的”。从实战来看，井山裕太也认同了黑棋的难处。　　实战黑棋收获了45目的实空，而白82和白84吃掉两子形成了大转换。这个转换谁获得了便宜在这里暂时保留。　　黑87选择了追究，而白88选择了脱先，这里也是值得商榷的地方。　　白88花了20分钟，黑89花了22分。这样以来不会担心这盘棋在第一天就会结束，而战斗也转移到了右边。　　山下敬吾表示：“不管怎么说，白棋之后的每一手棋都不好下了。我的话白88会下在A位跳一个。但是张栩可能会担心黑棋在B位打进来”。　　白88这手棋，研究室摆出了这样一个变化。白1碰，黑2和黑4的话白3和白5挡住。黑6之后白7断上去，黑棋肯定不会让白棋拔花，黑8之后白9粘上。之后下到黑22。实战谱的▲就发挥作用了。　　白90是忍耐的一手棋。张栩也考虑过这个时候下在C位。一边给右上角的白棋输送援军，一边瞄着下方的白棋形成大模样。　　相较于每一手棋都非常困难的张栩，井山裕太显得非常冷静。黑91和93率先准备之后黑95和97选择开劫。山下敬吾表示：“这才是井山裕太”。黑95如果下在101位的话，白D之后黑E。虽然收获了一些实空，但是白F跳出之后上下两块就连上了。　　左下角再一次形成了劫争，本局的第三次劫争。而白棋此时不能避开劫争。白100很想在101位粘上，但是这样的话黑G就会直接一巴掌拍上去。　　（明天续）
“小虎”终于变猛虎 LG杯杨鼎新拔掉韩国独苗,2018年11月15日 11:30,　　来源：奕道秋声公众号　　这个栏目我们将每天推出最新的大赛棋局，也会为棋友们奉上经典的历史名局。在动态的棋谱中随时随地感受围棋大师们精妙的构思、深邃的计算，不亦乐乎！　　今年的LG杯四强格局与三星杯相似，都是三名中国棋手、一名韩国棋手。半决赛上，两位中国世界冠军时越与范廷钰同室操戈，杨鼎新对阵申旻埈，这让中国棋迷略感不安——申旻埈会如三星杯上的安国铉一样杀入决赛吗？　　绝不是说杨鼎新的实力不够强，而是他在世界大赛中的表现向来平平，这次是突破良机，同样也是压力重大。　　杨鼎新出生于1998年10月，与辜梓豪、谢尔豪同年，因为属虎，小名“小虎”。老萧和小虎父子很早就认识，亲见过“虎爸”对小虎的严厉，输了棋巴掌直接呼上去，看得旁观者心疼不已。不过小虎本人很淡定，他深知父母的不易，只会更加努力。2008年，杨鼎新成功定段，以不到十周岁之龄成为世界上最年少的职业棋手。此后他在国内棋战中战绩飞扬，夺得过理光杯、倡棋杯、西南王战等冠军，赢得“鼎爷”美誉，不负少年时的苦修。　　不过到了世界大赛赛场上，小虎就没了那么好的气运，总是难以突破，渐渐被冠以“窝里横”之名。去年的LG杯，杨鼎新杀入八强，随即不敌井山裕太。今年他卷土重来，连破伊田笃史、元晟溱，再入八强，前天的八强战神奇逆转姜东润，首次杀入世界大赛四强，终于突破心魔。　　杨鼎新的对手申旻埈也是首次打进世界大赛四强，他渴望在韩国围棋低迷的时期迎来突破，如果先申真谞一步杀入世界大赛决赛，韩国棋坛的格局也会有所变动。　　突破之战，谁是勇者？　　第23届LG杯半决赛　　黑：申旻埈 九段　　白：杨鼎新 七段　　共192手　　白中盘胜　　对局日期；2018年11月14日　　对局地点：韩国江陵　　2015年的LG杯20周年纪念世界挑战者杯半决赛上，杨鼎新曾执白击败过申旻埈。　　　　申旻埈执黑先行，到右下角定式结束都是套路性变化。　　白24挂角时，黑25、27露骨扩张右边。　　黑31大围，申旻埈急于在布局阶段取得主动。　　白32、32侵入，有力。　　白36大跳轻灵。　　黑37是寻找行棋调子，但先损在前。　　黑43、45拘谨，白46拔花极为舒畅。　　白48尖顶，杨鼎新局面领先。　　黑49点角试探白棋，白50冷静。　　　　白4挡下后，黑棋上边需要做活。　　黑11虽是好形，但其实黑棋并未活净。　　白12抢到下边夹击，鼎爷优势历然。　　黑13、15开始非常手段，杨鼎新应对稳健。　　白24飞起好点。　　黑棋的定型手法略感滞重，白36先手刺愉快。　　白40拆后，黑41要在角上找眼位。　　白42尺度合适。　　黑45冲击下边白棋，杨鼎新避敌锋芒，抢到白50断，优势不动。　　　　黑3、5强抢右上目数。　　白6攻击上边黑棋，到黑21逼迫黑棋后手做活，小虎控制力出色。　　白22飞攻，黑棋只得狼狈突围。　　杨鼎新不与对手纠缠，白34拔花，给人大局已定之感。　　黑41、43目数不小。　　白44跳起堂堂正正。　　白50边收官边瞄着黑棋大块。　　　　黑5、7竭力拼搏。　　杨鼎新非常冷静，先确保自身安全。　　黑15以下在中腹围出一些目数，差距有所缩小，但白棋优势仍很明显。　　白22机敏定型，白30打吃时，黑31是无用的反抗。　　到白42，上方白棋无恙，黑棋目数明显不足，申旻埈投子。　　本局申旻埈开局不利，而杨鼎新发挥出色，完全把控住局势，兵不血刃杀入决赛。　　恭喜小虎迎来职业生涯重大突破，年少成名的他终于在世界大赛舞台上证明自己是一头猛虎。　　另一场半决赛，时越击败范廷钰，他将与杨鼎新在明年初通过三番胜负争夺冠军。　　中国棋手提前拿下本届LG杯，给力！　　杨鼎新执白192手中盘胜申旻埈
16日11时直播围甲联赛第24轮：连笑VS周贺玺等,2018年11月15日 17:09,　　　　
特鲁姆普自信将反弹：都看轻我是我最危险的时候,2018年11月15日 14:59,　　2005年，仍然是孩子的贾德-特鲁姆普就转为了职业斯诺克选手。至今，他已经赢得了八个排名赛冠军，并有17次打进决赛。　　然而，上周在冠中冠的决赛组中，他1-6不敌凯伦-威尔逊被淘汰出局。随后，他声称，当他打进决赛时，他比威尔逊更渴望赢得胜利。　　快进到本周，特鲁姆普在北爱尔兰公开赛中已经打进了第二轮——他在比赛中4-2战胜了马修-塞尔特；相反的，在冠中冠上取得优异成绩的威尔逊，很快面临了危机，他输给了李-沃克。　　特鲁姆普相信，当批评者都看轻他时，他恰恰正处在自己最危险的状态中。“很多人期望我能表现得（比现在）好得多——我认为，他们说我正处在很好的状态时，但往往伴随而来的结果却相当糟糕。”　　“人们说，凯伦是下一个即将到来的明星，但他几乎和我同龄，而且他所赢得的冠军数量远不及我所赢得的。由于他的性格和我的性格，我们之间稍微有些冲突，而人们正期待着未来……寻找竞争对手，而我们两个很可能将会变成那样。”　　“在之前几个赛季中，我正处在这样一个阶段：人们开始看轻我——而那正是我最危险的时候。我现在有点儿喜欢这样了，没人指望我现在会有任何表现，而突然之间，我想我会赢得一个冠军。”　　（月光）
朱婷：郎平不是自己未来方向 排球是我生命的底色,2018年11月15日 15:10,　　作为中国女排的队长，朱婷一直是被大家关注的偶像级人物。不过，对于从平凡中走出的“国际朱”，她自己又是怎样解读自己人生的呢？近日，朱婷接受了《理想者》的采访，以下是采访第二部分。　　　　很多球迷都很关心：朱婷的未来会是什么样的 呢？有些人也希望她能接郎平的班，来执教女排。不过，“超级朱”自己并不这么想。“很多人想让我成为郎导那样的，但是我觉得朗导那个位置，不是所有人都能 做的，因为太累了。现在对我来说，我觉得排球可能我能支撑的，是三届奥运会，三个周期，但你要在结束排球之后再去执教，我觉得可能一是从身份的转变，二是 觉得可能也从状态、从思想的转变，还要再去做之前做的事情，我不太想。”　　话虽这么说，但朱婷也表示，很多运动员退役后要么执教，要么坐科室，但现在自己还没有特别喜欢的位置，所以可能过两年会有个新的阶段、新的想法。　　　　朱婷介绍说，自己从小学起就有叛逆期了，反而是14岁开始打排球就没有了。“懂事也早，叛逆也早，我觉得都是相辅相成的。”因为家里经济条件不好，朱婷 小时候穿的是姐姐的旧衣服、旧鞋子，用的是旧书包，但姐姐们也会谦让着让她先交学杂费。所以，她表示，现在不希望让妹妹也经历自己小时候的这种情况，不要 让她意识到金钱的困难性。　　朱婷说，父亲身上坚持和憨厚的品质对自己的影响最大。早期打排球摔得浑身是伤，不想坚持的时候，是父亲让她再坚持一周的话，给了她今后的人生。就这样，这个从小又黑又瘦，被篮球队和皮划艇队放弃的孩子，在排球道路上走出了一条辉煌的道路。　　　　朱婷认为自己人生道路上的两大关键节点就是遇到了排球和郎导回归。“我现在的鲜花掌声，所有都归于排球，是排球改变了我现在的一个人生轨迹。”　　而郎平的存在不仅对朱婷，对整个国家队来说，她就像一位“母亲”。“郎导场上是很严谨的，但其实场下她是很可爱的一个人。她会跟我们开玩笑，会跟我们讲 一些很好的趣事，包括她打球时那种有趣而又励志的事情。郎导对我们来说，确实像一位‘母亲’。但这个母亲可能跟正常的母亲不太一样。比如说，她担心你的事 情或者照顾你的地方，真的比真正的父母要多得多。因为真的是长年累月都在郎导的带领下去做，很多事情都是队里帮忙去做的，很少让真正的父母去操心这件事 情。”　　朱婷认为，郎平的伟大在于无论身份如何转变，她始终坚持站在排球场上。而自己想要成为一名伟大的运动员，就是要把喜欢的事情至始至终一直坚持下去。　　朱婷还表示，排球就是自己一生的理想。“我觉得排球是我生命的底色。你只有在底色更好的时候，亮色打上去，底色才会更加的光明。它已经是了。”　　（月光）
